serial number;Diameter (mean) 
391;5.6729; 
392;5.6729; 
393;5.673; 
394;5.673; 
491;5.6729; 
492;5.6728; 
493;5.6728;
494;5.6729;
591;5.6728;
592;5.6727;
593;5.6729;
594;5.673;
691;5.6727;
692;5.6725;
693;5.6729;
694;5.6728;
791;5.6731;
792;5.6726;
793;5.6728;
794;5.673;
891;5.6729;
892;5.6726;
893;5.6727;
894;5.6729;
991;5.6728;
992;5.6727;
993;5.6725;
994;5.6729;
1091;5.6728;
1092;5.6727;
1093;5.6729;
1094;5.6731;
1191;5.6728;
1192;5.6725;
1193;5.6728;
1194;5.6728;
1291;5.6726;
1292;5.6725;
1293;5.6727;
1294;5.673;
1391;5.6727;
1392;5.6725;
1393;5.6726;
1394;5.6729;
1491;5.6733;
1492;5.6725;
1493;5.6725;
1494;5.6726;
1591;5.6726;
1592;5.6723;
1593;5.6728;
1594;5.6732;
1691;5.6727;
1692;5.6724;
1693;5.6726;
1694;5.6728;
1791;5.6728;
1792;5.6722;
1793;5.6725;
1794;5.6728;
1891;5.6724;
1892;5.6722;
1893;5.6725;
1894;5.6728;
1991;5.6721;
1992;5.6722;
1993;5.6727;
1994;5.6727;
2091;5.6721;
2092;5.672;
2093;5.6727;
2094;5.6727;
2191;5.672;
2192;5.6721;
2193;5.6724;
2194;5.6725;
2291;5.672;
2292;5.672;
2293;5.6728;
2294;5.6727;
2391;5.672;
2392;5.6723;
2393;5.6726;
2394;5.6727;
2491;5.6718;
2492;5.6719;
2493;5.6724;
2494;5.6725;
2591;5.672;
2592;5.672;
2593;5.6725;
2594;5.6728;
2691;5.6719;

